股票代码,股票简称,行业,日期,开盘价,最高价,最低价,收盘价,成交量（股）,成交额（元）,换手率,前收盘价,涨停价,跌停价,复权因子,总市值,流通市值,自由流通市值,是否停牌,是否ST
603386.SH,骏亚科技,电子,2026-01-05,15.33,15.65,15.1,15.59,30175400.0,462209167.0,9.2471,15.33,16.86,13.8,1.5187,5087368710.4,5087368710.4,2164329455.4,0.0,0.0
603386.SH,骏亚科技,电子,2026-01-06,15.41,15.69,15.17,15.55,24524760.0,378162612.0,7.5155,15.59,17.15,14.03,1.5187,5074315808.0,5074315808.0,2158776333.0,0.0,0.0
603386.SH,骏亚科技,电子,2026-01-07,15.43,15.81,15.25,15.34,21851540.0,337877210.0,6.6963,15.55,17.11,14.0,1.5187,5005788070.4,5005788070.4,2129622440.4,0.0,0.0
603386.SH,骏亚科技,电子,2026-01-08,15.25,15.84,15.2,15.69,26533760.0,413902377.0,8.1311,15.34,16.87,13.81,1.5187,5120000966.4,5120000966.4,2178212261.4,0.0,0.0
603386.SH,骏亚科技,电子,2026-01-09,15.7,15.99,15.57,15.98,23182060.0,367285160.0,7.104,15.69,17.26,14.12,1.5187,5214634508.8,5214634508.8,2218472398.8,0.0,0.0
603386.SH,骏亚科技,电子,2026-01-12,15.98,16.23,15.7,16.18,25147680.0,403060599.0,7.7064,15.98,17.58,14.38,1.5187,5279899020.8,5279899020.8,2246238010.8,0.0,0.0
603386.SH,骏亚科技,电子,2026-01-13,16.24,16.28,15.48,15.5,21245200.0,333157526.0,6.5105,16.18,17.8,14.56,1.5187,5057999680.0,5057999680.0,2151834930.0,0.0,0.0
603386.SH,骏亚科技,电子,2026-01-14,15.6,15.82,15.31,15.64,20326700.0,316264224.0,6.229,15.5,17.05,13.95,1.5187,5103684838.4,5103684838.4,2171270858.4,0.0,0.0
603386.SH,骏亚科技,电子,2026-01-15,15.5,15.5,15.01,15.3,14930360.0,226975198.0,4.5753,15.64,17.2,14.08,1.5187,4992735168.0,4992735168.0,2124069318.0,0.0,0.0
603386.SH,骏亚科技,电子,2026-01-16,15.48,15.75,15.18,15.68,16960520.0,262710466.0,5.1975,15.3,16.83,13.77,1.5187,5116737740.8,5116737740.8,2176823980.8,0.0,0.0
603386.SH,骏亚科技,电子,2026-01-19,15.68,15.98,15.46,15.9,16468504.0,260391602.0,5.0467,15.68,17.25,14.11,1.5187,5188528704.0,5188528704.0,2207366154.0,0.0,0.0
603386.SH,骏亚科技,电子,2026-01-20,15.91,16.05,15.42,15.64,16913900.0,265705239.0,5.1832,15.9,17.49,14.31,1.5187,5103684838.4,5103684838.4,2171270858.4,0.0,0.0
603386.SH,骏亚科技,电子,2026-01-21,15.42,16.17,15.4,16.08,22788580.0,363971577.0,6.9835,15.64,17.2,14.08,1.5187,5247266764.8,5247266764.8,2232355204.8,0.0,0.0
603386.SH,骏亚科技,电子,2026-01-22,16.15,16.79,16.09,16.55,33458360.0,550649038.0,10.2532,16.08,17.69,14.47,1.5187,5400638368.0,5400638368.0,2297604393.0,0.0,0.0
603386.SH,骏亚科技,电子,2026-01-23,16.54,16.55,16.12,16.16,25287120.0,409868422.0,7.7491,16.55,18.21,14.9,1.5187,5273372569.6,5273372569.6,2243461449.6,0.0,0.0
603386.SH,骏亚科技,电子,2026-01-26,15.89,15.93,15.11,15.3,24596540.0,381060568.0,7.5375,16.16,17.78,14.54,1.5187,4992735168.0,4992735168.0,2124069318.0,0.0,0.0
603386.SH,骏亚科技,电子,2026-01-27,15.18,15.7,14.49,15.45,20437020.0,308064850.0,6.2628,15.3,16.83,13.77,1.5187,5041683552.0,5041683552.0,2144893527.0,0.0,0.0
603386.SH,骏亚科技,电子,2026-01-28,15.33,15.68,14.93,14.94,12842040.0,193822324.0,3.9354,15.45,17.0,13.91,1.5187,4875259046.4,4875259046.4,2074091216.4,0.0,0.0
603386.SH,骏亚科技,电子,2026-01-29,14.93,14.93,14.23,14.23,13406120.0,195477584.0,4.1082,14.94,16.43,13.45,1.5187,4643570028.8,4643570028.8,1975523293.8,0.0,0.0
603386.SH,骏亚科技,电子,2026-01-30,14.15,14.5,14.06,14.41,8763600.0,125295396.0,2.6856,14.23,15.65,12.81,1.5187,4702308089.6,4702308089.6,2000512344.6,0.0,0.0
688790.SH,昂瑞微,电子,2026-01-05,148.99,154.5,148.51,152.27,1947223.0,297028521.0,16.1492,147.78,177.34,118.22,1.0,15155690131.76,1836021563.17,1836021563.17,0.0,0.0
688790.SH,昂瑞微,电子,2026-01-06,152.26,158.38,150.34,158.35,2394419.0,368245088.0,19.8581,152.27,182.72,121.82,1.0,15760842794.8,1909332202.85,1909332202.85,0.0,0.0
688790.SH,昂瑞微,电子,2026-01-07,159.58,170.75,157.52,165.5,3390432.0,560869859.0,28.1185,158.35,190.02,126.68,1.0,16472494364.0,1995544550.5,1995544550.5,0.0,0.0
688790.SH,昂瑞微,电子,2026-01-08,163.25,168.49,161.08,166.08,2104254.0,346202132.0,17.4516,165.5,198.6,132.4,1.0,16530222743.04,2002537999.68,2002537999.68,0.0,0.0
688790.SH,昂瑞微,电子,2026-01-09,165.1,165.1,161.04,162.01,1829357.0,297905640.0,15.1717,166.08,199.3,132.86,1.0,16125128772.88,1953463278.71,1953463278.71,0.0,0.0
688790.SH,昂瑞微,电子,2026-01-12,163.39,177.0,162.72,177.0,3091666.0,522867275.0,25.6407,162.01,194.41,129.61,1.0,17617108776.0,2134207767.0,2134207767.0,0.0,0.0
688790.SH,昂瑞微,电子,2026-01-13,177.0,177.0,160.89,161.0,2732910.0,452250543.0,22.6653,177.0,212.4,141.6,1.0,16024601768.0,1941285031.0,1941285031.0,0.0,0.0
688790.SH,昂瑞微,电子,2026-01-14,159.62,179.0,159.02,171.8,3387604.0,577128519.0,28.095,161.0,193.2,128.8,1.0,17099543998.4,2071507877.8,2071507877.8,0.0,0.0
688790.SH,昂瑞微,电子,2026-01-15,169.0,169.0,162.14,165.16,1923423.0,316480522.0,15.9519,171.8,206.16,137.44,1.0,16438653590.08,1991444942.36,1991444942.36,0.0,0.0
688790.SH,昂瑞微,电子,2026-01-16,165.26,168.56,163.18,165.03,1452331.0,240977484.0,12.0449,165.16,198.19,132.13,1.0,16425714470.64,1989877445.13,1989877445.13,0.0,0.0
688790.SH,昂瑞微,电子,2026-01-19,166.11,166.11,161.51,162.03,963167.0,156871282.0,7.988,165.03,198.04,132.02,1.0,16127119406.64,1953704432.13,1953704432.13,0.0,0.0
688790.SH,昂瑞微,电子,2026-01-20,161.31,164.67,157.77,158.09,1098611.0,176782872.0,9.1113,162.03,194.44,129.62,1.0,15734964555.92,1906197208.39,1906197208.39,0.0,0.0
688790.SH,昂瑞微,电子,2026-01-21,156.0,163.18,156.0,161.86,1161090.0,187368517.0,9.6295,158.09,189.71,126.47,1.0,16110199019.68,1951654628.06,1951654628.06,0.0,0.0
688790.SH,昂瑞微,电子,2026-01-22,162.99,166.5,161.08,161.82,983270.0,159876502.0,8.1547,161.86,194.23,129.49,1.0,16106217752.16,1951172321.22,1951172321.22,0.0,0.0
688790.SH,昂瑞微,电子,2026-01-23,162.08,165.0,160.8,163.02,1044970.0,170036224.0,8.6664,161.82,194.18,129.46,1.0,16225655777.76,1965641526.42,1965641526.42,0.0,0.0
688790.SH,昂瑞微,电子,2026-01-26,163.0,163.9,156.28,157.36,1062491.0,169015182.0,8.8117,163.02,195.62,130.42,1.0,15662306423.68,1897395108.56,1897395108.56,0.0,0.0
688790.SH,昂瑞微,电子,2026-01-27,156.0,161.88,152.8,160.15,905880.0,142937256.0,7.5129,157.36,188.83,125.89,1.0,15939999833.2,1931036010.65,1931036010.65,0.0,0.0
